yg,ldodo,djzlk@ell.fr,0786546756,3 rue fgihkh dfgsyejr,1,x,x,pass3jours,x,x,x,Oui,x,x,x,x,vanNuit3,x,Non,0,0
loels,ldodo,djzlk@ell.fr,0786546756,3 rue fgihkhhk,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
loels,ldodo,djzlk@ell.fr,0786546756,3 rue fgihkhhk,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
loels,ldodo,djzlk@ell.fr,0786546756,3 rue fgihkhhk,1,Oui,x,pass2jours,x,Jour23,x,x,x,x,x,x,x,x,Non,0,0
loels,ldodo,djclzj@chgchgc,0786546756,3 rue fgihkhhk,1,Oui,pass3joursReduit,pass1jour,Jour3,x,x,x,x,x,x,x,x,x,Non,0,0
loels,ldodo,djclzj@chgchgc,0786546756,3 rue fgihkhhk,1,Oui,pass3joursReduit,pass1jour,Jour3,x,x,x,x,x,x,x,x,x,Non,0,0
loels,ldodo,djzlk@ell.fr,0786546756,3 rue fgihkhhk,1,x,x,pass1jour,Jour1,x,x,x,x,x,x,vanNuit2,x,x,Non,0,0
loels,ldodo,djzlk@ell.fr,0786546756,3 rue fgihkhhk,1,x,x,pass1jour,Jour1,x,x,x,x,x,x,vanNuit2,x,x,Non,0,0
loels,ldodo,djzlk@ell.fr,0786546756,3 rue fgihkh dfgsyejr,1,x,x,pass1jour,Jour1,x,x,x,x,x,x,x,x,x,Non,0,0
loels,hu,djzlk@ell.fr,0786546756,3 rue fgihkh dfgsyejr,1,x,x,pass1jour,Jour1,x,x,x,x,x,x,x,x,x,Non,0,0
loels,ldodo,djclzj@chgchgc,0786546756,3 rue fgihkhhk,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
yg,hu,djzlk@ell.fr,0786546756,3 rue fgihkhhk,1,x,x,pass2jours,x,Jour23,x,x,x,x,x,x,x,x,Non,0,0
tbf,trbgt,fdfd@vervr.com,0619283948,fdfdfs,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
Terme,Clement,fdfd@vervr.com,0619283948,fdfdfs,2,x,x,pass2jours,x,Jour12,Oui,x,x,x,vanNuit1,x,x,x,Oui,1,2
Bon,Jean,Jeanbon@gmail.com,0619283948,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
tbf,trbgt,clement73terme@gmail.com,0619283948,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
tbf,trbgt,clement73terme@gmail.com,0619283948,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
fdf,fdfd,fdfd@vervr.com,0619283948,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
tbf,trbgt,fdfd@vervr.com,0619283948,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
tbf,trbgt,fdfd@vervr.com,0000000001,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
tbf,fdfd,clement73terme@gmail.com,0600000000,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
Terme,Clément,clement73terme@gmail.com,0619283948,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
Terme,Clément,clement73terme@gmail.com,0619283948,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
Terme,trbgt,clement73terme@gmail.com,0619283948,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
Terme,Clément,clement73terme@gmail.com,0619283948,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
Jaegerr,Eren,Eren.jaegerr@gmail.com,0619283948,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
Jaegerr,Eren,Eren.jaegerr@gmail.com,0619283948,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
Jaegerr,Eren,Eren.jaegerr@gmail.com,0619283948,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
Bon,Jean,Jeanbon@gmail.com,0619283948,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
tbf,trbgt,fdfd@vervr.com,0600000000,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
Terme,Clément,clement73terme@gmail.com,0619283948,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
Terme,Clément,clement73terme@gmail.com,0619283948,,1,x,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
Terme,Clément,clement73terme@gmail.com,0619283948,,1,Non,x,pass3jours,x,x,x,x,x,x,x,x,x,x,Non,0,0
Bon,Jean,Jeanbon@gmail.com,0619283948,,1,Oui,Pass 2 jours,x,x,Jour 2 et 3,x,Oui,x,x,x,x,vanNuit3,x,Oui,2,3
Gina,Laurent,Laurent.gina@miam.com,0619283948,,2,Oui,Pass 2 jours,x,x,Jour 1 et 2,Oui,x,x,x,x,Oui,x,x,Oui,2,3
